smiles,label,InChIKey,InChIKey_14,Source,Compound_ID,PMID
Cn1cnnc1C1CCN(C(=O)NC2CC2c2ccccc2)CC1,0,PMWSGFIJYUECNG-UHFFFAOYSA-N,PMWSGFIJYUECNG,CUPID,CUPID,
CNCCCC12CCC(c3ccccc31)c1ccccc12,0,QSLMDECMDJKHMQ-UHFFFAOYSA-N,QSLMDECMDJKHMQ,CUPID,CUPID,
C1CC1(C2=NC3=C(C=C(C=C3N2)C(F)(F)F)C(F)(F)F)N,0,DSTRZPSUEPJFRE-UHFFFAOYSA-N,DSTRZPSUEPJFRE,PubChem,60194256,
O=C(c1ccccc1)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1,1,MVYVCIKGEFGAJD-UHFFFAOYSA-N,MVYVCIKGEFGAJD,data_cav_dev,CHEMBL3951427,
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC,1,XQLWNAFCTODIRK-UHFFFAOYSA-N,XQLWNAFCTODIRK,PubChem,1234,23466604
CC(C)(C)CCNC(=O)C1=CC=C(C=C1)OCC2=CC=C(C=C2)OC,0,HRCMOZIXTZZLDL-UHFFFAOYSA-N,HRCMOZIXTZZLDL,PubChem,60210843,
COC1=CC=C(C=C1)C2=CN3C(=C(C=N3)C4=C5C=CC=NC5=CC=C4)N=C2.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,0,NXIQJPINMUNDLN-UHFFFAOYSA-N,NXIQJPINMUNDLN,PubChem,57339378,
CC(C)C(=O)O[C@@]1(C[C@@H]2CC[C@H]1C3=CC=CC=C23)CCN(C)CCCC4=NC5=CC=CC=C5N4,1,MLDXNVWBLNAZSD-RPFOIHMYSA-N,MLDXNVWBLNAZSD,PubChem,67448236,26231163
CC(C)[C@]1(C([C@]2([C@]3(C[C@]4([C@@]1([C@@]2([C@@]5([C@@]3(CCC(=C)C5O)O)O4)O)C)O)C)OC)OC(=O)C6=CC=CN6)O,1,IXQBOICCNDAQBB-GKSVCDBYSA-N,IXQBOICCNDAQBB,PubChem,49823656,8691427
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(-c2cccc(Cl)c2Cl)o1,1,FBYPVBGLURAFHW-UHFFFAOYSA-N,FBYPVBGLURAFHW,data_cav_dev,CHEMBL2063955,
COc1ccccc1-n1nc(OC2CCN(S(C)(=O)=O)CC2)cc1-c1ccc(Cl)cc1,1,NWSFHJWTWBRJFA-UHFFFAOYSA-N,NWSFHJWTWBRJFA,data_cav_dev,,73296549
CC1=C(C(C(=C(N1)CSC2=CC=CC=C2)C(=O)OCC=C)C3=CC=CC=C3C(F)(F)F)C#N,1,YTUOGSGNRFDZKT-UHFFFAOYSA-N,YTUOGSGNRFDZKT,PubChem,15050386,2066997
C#CCn1cc(CN2CCCCC2)c2cc(Br)ccc21,0,BKSYURVADAFBIB-UHFFFAOYSA-N,BKSYURVADAFBIB,data_cav_dev,CHEMBL4565304,
CCOC(=O)C1=C(NC(=C(C1C2=C(ON=C2C)CCC3=CC=CC=C3C4=CC=CC=C4)C(=O)OCC)C)C,1,ONGHNSHAGALNCD-UHFFFAOYSA-N,ONGHNSHAGALNCD,PubChem,10577739,10447952
CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=C(C=C2)F)C(=O)OC,1,WFVTULAIGXQOIM-UHFFFAOYSA-N,WFVTULAIGXQOIM,PubChem,44334386,3339603
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1,1,QDHIAGVDKRWZNF-UHFFFAOYSA-N,QDHIAGVDKRWZNF,data_cav_dev,CHEMBL2063842,
CCCCCCCCO/C(O)=C1\C(C)=NC(C)=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,1,KTPUGBNEQXUNRV-YYDJUVGSSA-N,KTPUGBNEQXUNRV,data_cav_dev,CHEMBL286157,
CC(=O)OC1=C(SC2=CC=CC=C2N3C1=CC=C3)C4=CC=C(C=C4)OC,1,NCWRHYSPTPPIQP-UHFFFAOYSA-N,NCWRHYSPTPPIQP,PubChem,1784,8709127
COc1ccc(-c2cc(OC3CC(C)(C)SC(C)(C)C3)nn2-c2ccccc2OC)cc1,1,JWZPZXKJEUAZFV-UHFFFAOYSA-N,JWZPZXKJEUAZFV,data_cav_dev,CHEMBL3890916,
