smiles,label,InChIKey,InChIKey_14,Source,Compound_ID,PMID
CC1(CN(C1)C(C2=CC=CC=C2)C3=CC=CC=C3)COC4=CC(=C(C=C4C5CC5)C(=O)NS(=O)(=O)C)F,1,BBTLYGRMWYLRGJ-UHFFFAOYSA-N,BBTLYGRMWYLRGJ,PubChem,118120489,6331
CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(C)S(C)(=O)=O)c(-c3ccc4ccn5c6cccc(F)c6cc5c4n3)cc12,0,GSURGAWEPTXPFX-UHFFFAOYSA-N,GSURGAWEPTXPFX,CUPID,CUPID,
COC1=C(C=C(C(=C1)C2=CC(=CC=C2)F)Cl)C3=NC=C(C4=C3C=CC(=C4)S(=O)(=O)NC5=NOC=C5)C#N,0,MGKGQZBKSZKWNU-UHFFFAOYSA-N,MGKGQZBKSZKWNU,PubChem,117741781,6331
CS(=O)(=O)NC(=O)C1=C(C=C(C(=C1)C2CC2)OCC3CCN(CC3)S(=O)(=O)C4CCOCC4)F,1,JXLPSKSGRHGUDG-UHFFFAOYSA-N,JXLPSKSGRHGUDG,PubChem,118110921,6331
C[C@H](C1=CC(=CC(=C1)Cl)Cl)N2CCC(CC2)COC3=CC(=C(C=C3C4CC4)C(=O)NS(=O)(=O)N5CCC5)F,1,ICDZOMMZQJGZGT-QGZVFWFLSA-N,ICDZOMMZQJGZGT,PubChem,118110459,6331
CC(C)COC1=C(C=C(C=N1)C2=C(C=C(C=C2)C(=O)NS(=O)(=O)C)C(F)(F)F)Cl,1,PLXBSTRGZKRICB-UHFFFAOYSA-N,PLXBSTRGZKRICB,PubChem,155526353,27441383
CC1=CC(=CC(=C1)C(=O)N2CCC3(CC2)C4=CC=CN4C5=C(N3)C=C(C=C5)OC)C,1,ZCNYUKXXGYHXIO-UHFFFAOYSA-N,ZCNYUKXXGYHXIO,PubChem,53058205,25113934
CC1=NC(=CS1)CN2CCC(CC2)COC3=CC(=C(C=C3C4CC4)C(=O)NS(=O)(=O)C5CC5)F,1,NCNOZBYYUPHRSB-UHFFFAOYSA-N,NCNOZBYYUPHRSB,PubChem,118111437,6331
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0,HYIMSNHJOBLJNT-UHFFFAOYSA-N,HYIMSNHJOBLJNT,data_nav_dev,CHEMBL193,
COc1ccccc1-c1nccc2cc(S(=O)(=O)Nc3nccs3)ccc12,0,YWWWSWNIXBDPCT-UHFFFAOYSA-N,YWWWSWNIXBDPCT,CUPID,CUPID,
CC1(CN(C1)C(C2=CC=CC=C2)C3=CC(=CC(=C3)Cl)Cl)COC4=CC(=C(C=C4C5CC5)C(=O)NS(=O)(=O)C)F,1,YRRNEWYACBDUSW-UHFFFAOYSA-N,YRRNEWYACBDUSW,PubChem,118111276,6331
CN([C@H]1CCN(C1)CC2=C(C=CC(=C2)F)F)C3=C(C=C(C=C3)S(=O)(=O)NC4=NC=NS4)Cl,0,HQGJZKFFWZXSFZ-HNNXBMFYSA-N,HQGJZKFFWZXSFZ,PubChem,132142207,6331
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,1,GUGOEEXESWIERI-UHFFFAOYSA-N,GUGOEEXESWIERI,PubChem,5405,21300721
C1CC1C2=CC(=C(C=C2OCC34CC5CC(C3)CC(C5)C4)F)C(=O)NS(=O)(=O)N6CCOCC6,1,DEYOMPPOEBPYPT-UHFFFAOYSA-N,DEYOMPPOEBPYPT,PubChem,91809371,33682420
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccccc1N1CCNCC1,1,DTSNBUNQRWNESH-UHFFFAOYSA-N,DTSNBUNQRWNESH,data_nav_dev,CHEMBL3982796,
CC(C)(C1=CC=CC(=C1)CN2CC[C@@H](C2)N(C)C3=CC(=C(C=C3Cl)S(=O)(=O)NC4=CSC=N4)F)O,0,BJGCCYNZXROEED-SFHVURJKSA-N,BJGCCYNZXROEED,PubChem,132141891,6331
CN([C@H]1CCN(C1)CC2=CC3=C(C=C2)NC=C3)C4=CC(=C(C=C4Cl)S(=O)(=O)N(C5=CSC=N5)C(=O)[O-])F,1,AHIPHTLYIPKFAL-KRWDZBQOSA-M,AHIPHTLYIPKFAL,PubChem,145866041,6331
CC(C)(C1=CC(=CC=C1)Cl)N2CCC[C@H](C2)OC3=CC(=C(C=C3C4CC4)C(=O)N)F,1,WGJKXBIAQQOYRR-GOSISDBHSA-N,WGJKXBIAQQOYRR,PubChem,118120577,6331
CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H]([C@@H]2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C,1,CJDRUOGAGYHKKD-OVXZWHIBSA-N,CJDRUOGAGYHKKD,PubChem,3000261,21300721
NC1=NC23C(N1)C(Cn1c(O)ccc1O)N=C(N)N2CC(NC(=O)c1cccc(C(F)(F)F)c1)C3(O)O,0,AHSSCAQZXAGKMT-UHFFFAOYSA-N,AHSSCAQZXAGKMT,CUPID,CUPID,
C1CC1C2=CC(=C(C=C2OCC3CCN(CC3)S(=O)(=O)C4=CC5=CC=CC=C5C=C4)F)C(=O)NS(=O)(=O)C6CC6,1,UCXDLDHAYNJNNX-UHFFFAOYSA-N,UCXDLDHAYNJNNX,PubChem,118120544,6331
Cc1c(Cc2ccc(C(F)(F)F)nc2)c[nH]c1C(=O)NC1CC1,0,AFOVOYRODSYDMK-UHFFFAOYSA-N,AFOVOYRODSYDMK,data_nav_dev,154699462,154699462
CS(=O)(=O)NC(=O)C1=C(C=C(C(=C1)C2CC2)OCC3CCN(CC3)[C@H](CO)C4=CC(=CC(=C4)Cl)Cl)F,1,DHFLDZDCXCPNAT-HSZRJFAPSA-N,DHFLDZDCXCPNAT,PubChem,118111342,6331
Cc1ccc(F)c(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)c1,1,ONOCEJCKMCHONY-UHFFFAOYSA-N,ONOCEJCKMCHONY,data_nav_dev,CHEMBL3928626,
Cc1ccnc(CN2CCOc3cnc(-c4ccc(OC(F)(F)F)cc4)cc3C2=O)n1,1,KLYIVXSTHHWDCX-UHFFFAOYSA-N,KLYIVXSTHHWDCX,data_nav_dev,CHEMBL3897799,
