Naming,SMILES,Kv_model,Cav_model,Nav_model
Donepezil,COC1=C(C=C2C(CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)=C1)OC,Blocker,Non-Blocker,Non-blocker
1,COC1=C(OC)C=C2C(CC(CC3CCN(CC)CC3)C2=O)=C1,Non-blocker,Non-Blocker,Non-blocker
2,COC1=C(OC)C=C2C(CC(CC3CCC(CC)CC3)C2=O)=C1,Non-blocker,Non-Blocker,Non-blocker
3,COC1=C(OC)C=C2C(CC(CC3CCC(CC4=CC=CC=C4)CC3)C2=O)=C1,Non-blocker,Blocker,Non-blocker
4,COC1=C(C=C2C(CC(C2=O)CC3=CC=C(CC4=CC=CC=C4)C=C3)=C1)OC,Non-blocker,Blocker,Non-blocker
5,COC1=C(C=C2C(CC(C2=O)CC3CCC(CC3)CC4CCCCC4)=C1)OC,Non-blocker,Non-Blocker,Non-blocker
6,COC1=CC=C2C(CC(C2=O)CC3CCN(CC3)CC4CCCCC4)=C1,Blocker,Non-Blocker,Non-blocker
7,COC1=CC=C2C(CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)=C1,Blocker,Blocker,Non-blocker
8,COC1=CC=C2C(CC(C2=S)CC3CCN(CC3)CC4=CC=CC=C4)=C1,Blocker,Blocker,Non-blocker
9,COC1=CC=C2C(CC(C2)CC3CCN(CC3)CC4=CC=CC=C4)=C1,Blocker,Blocker,Non-blocker
10,COC1=C(OC)C=C2C(CC(C2)CC3CCN(CC3)CC4=CC=CC=C4)=C1,Non-blocker,Blocker,Non-blocker
11,COC1=C(OC)C=C2C(CC(C2=O)CC3=CC=CC=C3)=C1,Non-blocker,Non-Blocker,Non-blocker
12,COC1=C(OC)C=C2C(CC(C2=O)CC3CCNCC3)=C1,Non-blocker,Non-Blocker,Non-blocker
13,COC1=C(OC)C=C2C(CC(C2=O)CC3CCCCC3)=C1,Non-blocker,Non-Blocker,Non-blocker
14,COC1=CC=C2C(C(CC(CC3CCN(C4=CC=CC=C4)CC3)C2)=O)=C1,Blocker,Blocker,Blocker
15,COC1=CC=C2C(C(CC(CC3CCN(CC4=CC=CC=C4)CC3)C2)=O)=C1,Blocker,Blocker,Non-blocker
16,COC1=C(C=C2C(CC(C2=O)CCC3CCN(CC3)CC4=CC=CC=C4)=C1)OC,Blocker,Non-Blocker,Non-blocker
17,COC1=C(C=C2C(CC(C2=O)CCCCC3CCN(CC3)CC4=CC=CC=C4)=C1)OC,Blocker,Blocker,Blocker
